date,increase_cnt,decrease_cnt,increase_rate
1992-09-28,5,33,0.15151515151515152
1992-09-29,15,24,0.625
1992-09-30,1,38,0.02631578947368421
1992-10-04,14,1,14.0
1992-10-05,2,37,0.05405405405405406
1992-10-06,6,33,0.18181818181818182
1992-10-07,13,26,0.5
1992-10-08,5,34,0.14705882352941177
1992-10-09,37,2,18.5
1992-10-12,33,7,4.714285714285714
1992-10-13,2,39,0.05128205128205128
1992-10-14,4,37,0.10810810810810811
1992-10-15,33,8,4.125
1992-10-16,16,24,0.6666666666666666
1992-10-19,0,41,0.0
1992-10-20,14,27,0.5185185185185185
1992-10-21,0,41,0.0
1992-10-22,1,40,0.025
1992-10-23,23,18,1.2777777777777777
1992-10-26,0,41,0.0
1992-10-27,2,39,0.05128205128205128
1992-10-28,34,7,4.857142857142857
1992-10-29,40,1,40.0
1992-10-30,41,0,inf
1992-11-02,0,41,0.0
1992-11-03,20,21,0.9523809523809523
1992-11-04,0,41,0.0
1992-11-05,3,38,0.07894736842105263
1992-11-06,5,36,0.1388888888888889
1992-11-09,0,41,0.0
1992-11-10,0,41,0.0
1992-11-11,21,20,1.05
1992-11-12,22,19,1.1578947368421053
1992-11-13,5,37,0.13513513513513514
1992-11-16,1,42,0.023809523809523808
1992-11-17,3,41,0.07317073170731707
1992-11-18,44,0,inf
1992-11-19,17,27,0.6296296296296297
1992-11-20,16,29,0.5517241379310345
1992-11-23,26,19,1.368421052631579
1992-11-24,45,1,45.0
1992-11-25,44,2,22.0
1992-11-26,30,16,1.875
1992-11-27,32,14,2.2857142857142856
1992-11-30,47,0,inf
1992-12-01,20,27,0.7407407407407407
1992-12-02,16,32,0.5
1992-12-03,28,21,1.3333333333333333
1992-12-04,40,10,4.0
1992-12-07,35,15,2.3333333333333335
1992-12-08,7,44,0.1590909090909091
1992-12-09,6,45,0.13333333333333333
1992-12-10,0,51,0.0
1992-12-11,51,0,inf
1992-12-14,4,47,0.0851063829787234
1992-12-15,5,46,0.10869565217391304
1992-12-16,34,17,2.0
1992-12-17,33,18,1.8333333333333333
